project_id;description_th
141;สัมผัสความต่างที่เหนือกว่าของการใช้ชีวิตในสังคม Township
156;ความแตกต่างของบ้านหลากดีไซน์
157;ความร่มรื่นของบ้านเดี่ยว ในบรรยากาศริมฝั่งเจ้าพระยา บนถ.นนทบุรี 1
161;ก่อสร้างด้วยวัสดุมีคุณภาพ มีแบบบ้านให้ลูกค้าเลือกสรรได้หลายแบบ และหลายราคาราคา เพื่อให้เหมาะสม กับความต้องการของลูกค้า
189;บ้านเดี่ยวใจกลางเมือง สามารถเข้า-ออกได้ 2 ทาง ทั้งถนนเกษตร-นวมินทร์ และถนนรามอินทรา จัดแบ่งพื้นที่ภายในอย่างมีสัดส่วนและกว้างขวางเป็นพิเศษ ออกแบบไว้อย่างโอ่โถง สบาย และให้อิสระในการออกแบบหรือตกแต่งภายในตามจินตนาการของผู้เป็นเจ้าของอย่างแท้จริง
192;บ้านหรู ด้วยชีวิตที่เหนือกว่าทุกความประทับใจที่นี่ กับแบบบ้านใหม่ล่าสุด ของแกรน์ด ลิฟวิ่งนารา รังสิต เพิ่มชีวิตอันสมบูรณ์แบบ ในสถาปัตยกรรมที่ได้รับการสร้างสรรค์  ด้วยนวัตกรรมการออกแบบสไตล์ Modern ทันสมัย หากแต่ยังคงความหรูหรา ด้วยฟังก์ชั่นเหนือระดับ พร้อมเรือนอเนกประสงค์แยกออกจากตัวบ้านเพื่อตอบโจทย์ความต้องการได้ทุกความต้องการ
206;Balance your Life เลือกคุณภาพชีวิตสมดุลลงตัวในแบบคุณ
208;
219;อาณาจักรบ้านสวยบรรยากาศทะเลสาบ เพื่อความสุขสมบูรณ์แบบ พบแบบบ้านดีไซน์ใหม่ ที่ความสวยงามภายนอกมาพร้อมฟังก์ชั่นภายในที่กว้างขวาง เต็มอิ่มกับธรรมชาติรอบตัวได้ทุกวัน ครบทุกความต้องการสำหรับชีวิตทันสมัย
223;บ้านเดี่ยว บ้านแฝด ที่สร้างด้วยดีไซน์ที่คำนึงถึงประโยชน์ใช้สอยพื้นที่ทุกส่วนของบ้านอย่างคุ้มค่า เพื่อให้รูปแบบการใช้ชีวิตของคุณเป็นไปอย่างลงตัว และมีความสุขในทุกวัน
228;ทาวน์เฮ้าส์พร้อมอยู่ 2 ชั้น หน้าวกว้าง 4,4.5,5 เมตร และ 6 เมตร โดดเด่นด้วยรูปลักษณ์ภายนอก ลงตัวด้วยพื้นที่ใช้สอย โอ่อ่ากว้างขวางสไตล์บ้านเดี่ยว โครงสร้างอาคารได้รับการออกแบบพิเศษเพื่อการต่อเติมด้วยเสาเข็มขนาดใหญ่ บริเวณหลังบ้าน
232;เค.ซี.เนเชอรัลวิลล์ บางนา-เทพารักษ์ บ้านหรูบรรยากาศแสนสบายที่คุณต้อง หลงใหล ตรงใจคุณสไตล์ “Nature Home” ให้คุณสัมผัสความร่มรื่นของพื้นที่สีเขียวของพันธุ์ไม้ใหญ่ ในสวนสาธารณะ ลานออกกำลังกาย สโมสรฟิตเนส และความปลอดภัยที่ไม่ต้องจินตนาการ ความสมบูรณ์แบบแห่งใหม่บนถนนเทพารักษ์ โครงการคุณภาพภายใต้แนวคิด ที่ให้คุณได้มีธรรมชาติเป็นเพื่อนอยู่ใกล้ๆ พื้นที่ภายใน โครงการ เค.ซี เนเชอรัลวิลล์ ได้รับการปรับให้แต่งให้สวยงาม ตาม Concept ในการเป็นที่พักท่ามกลางธรรมชาติอย่างสมบูรณ์ ทัศนียภาพต่างๆ แวดล้อมไปด้วยร่มไม้สีเขียวเป็นส่วนใหญ่  ในพื้นที่โครงการขนาด 118 ไร่ ถือได้ว่า เป็นโครงการหมู่บ้านระดับหรูไฮคลาสที่น่าสนใจ แบบบ้านของโครงการ เค.ซี. เนเชอรัลวิวล์ ได้รับการออกแบบและก่อสร้างให้แข็งแรง มีรูปลักษณ์ที่โดดเด่นทันสมัย  
234;เนเชอรัลวิลล์ ร่มเกล้า เป็นโครงการในสไตล์ Home & Nature For Life เป็นบ้านหรูในอีกระดับของชีวิต... ที่แนบชิดธรรมชาติ มอบความตระการตากับสังคมที่งดงามด้วยธรรมชาติรอบด้าน ที่ซึ่งทุกๆ วันของคุณจะสดชื่นท่ามกลางสวยสวยร่มรื่นสไตล์ Tropical Garden ยิ่งใหญ่กว่าครั้งใด ด้วยรูปลักษณ์ใหม่ของบ้านหรู สวยงาม อบอุ่น กลมกลืนกับธรรมชาติ คุ้มค่าและหรูหราเหนือใครด้วยวัสดุตกแต่งชั้นเยี่ยม อุ่นใจกับระบบความปลอดภัยเหนือระดับ สะดวกด้วยศักยภาพทำเลใกล้เมือง และใกล้ทุกเส้นทางคมนาคมหลัก และเส้นการเดินทางสู่สุวรรณภูมิ
235;กลิ่นไอของบรรยากาศแบบไทยประยุกต์ในลักษณะของนีโอไทย ซึ่งบ่งบอกถึงความรู้สึกอันอบอุ่นอย่างลึกซึ้ง ด้วยคุณค่าแห่งวิถีชีวิตความเป็นไทยที่ออกแบบให้ภายในมีเรือนชานกว้าง โดดเด่นด้วยแนวคิดการรักษาความร่มรื่นของธรรมชาติเอาไว้ ด้วยบรรยากาศที่เงียบสงบและเป็นส่วนตัวทำให้ชีวิตคุณสัมผัสธรรมชาติได้อย่างใกล้ชิด จึงเป็นเสน่ห์ของที่นี่ที่ทำให้คุณอาจหลงใหลโดยไม่รู้ตัวถึงความสงบ ความสบายกายสบายใจ ผ่อนคลายในทุก ๆ วินาทีบ้านทั้งหมด 163 หลัง ที่ดินทั้งหมด 34-3-2.7 ไร่ บ้านที่เป็นศูนย์รวมของทุกความรู้สึก และเราอยากให้คุณมีความสุข....ประทับใจ เพราะความสุขเริ่มต้นที่...บ้าน เราจึงเลือกบ้านอย่างพิถีพิถันที่สุด ด้วยคุณภาพและวัสดุชั้นเยี่ยมที่คัดสรรในทุกรายละเอียด ภายใต้การคมนาคมและสิ่งแวดล้อมที่มีคุณภาพเพื่อคุณ มีขนาดบริเวณบ้านให้เลือกตั้งแต่ 50 -83 ตรว.
250;บ้านแบบใหม่โดย...กานดา
253;คลัสเตอร์รามอินทรา -ซาฟารี ทาวน์เฮ้าส์ 2 ชั้น หน้ากว้าง 4, 4.5, 5 เมตร และ 6 เมตร โดดเด่นด้วยรูปลักษณ์ภายนอก ลงตัวด้วยพื้นที่ใช้สอย โอ่อ่ากว้างขวางสไตล์บ้านเดี่ยวโครงสร้างอาคารได้รับการออกแบบพิเศษ เพื่อการต่อเติมด้วยเสาเข็มขนาดใหญ่บริเวณหลังบ้าน คุณจึงต่อเติมความสุขในบ้านได้อย่างมั่นใจ ทาวน์เฮ้าส์คุณภาพที่มากกว่าทาวน์เฮ้าส์ธรรมดาทั่วไปสิ่งที่ทำให้ทุกชีวิตที่พักอาศัยที่นี่มีความสุขสบาย ก็ด้วยสาธารณูปโภคที่ครบครันการคมนาคมสะดวก ผสมผสาน ความเรียบง่ายแบบสมัยใหม่ จัดสรรอย่างลงตัว ทุกพื้นที่ของการใช้สอย คุ้มค่า และสมบูรณ์แบบ พร้อมสรรพด้วยสาธารณูปโภค และสิ่งอำนวยความสะดวก ต่างๆ มากมาย รวมถึงระบบการรักษาความปลอดภัยตลอด 24 ชั่วโมง จึงทำให้คุณสัมผัสได้ถึงความอบอุ่นและความปลอดภัยไปพร้อมๆ กัน
269;
271;แรงบันดาลใจจากการออกแบบสถาปัตยกรรมร่วมสมัย ผสานการตกแต่งที่โดดเด่นไม่เหมือนใคร สะท้อนให้เกิดแนวคิดในการออกแบบบ้านเดี่ยวสไตล์ Modern Tropical เน้นความโปร่งโล่ง ท่ามกลางธรรมชาติ เป็นเสน่ห์ที่ยากจะหาได้ในบ้าน Modern ให้คุณรู้สึกผ่อนคลายทุกการอยู่อาศัย ตามหลักฮวงจุ้ย บนทำเลผืนสุดท้ายย่านรังสิต คลอง 1 
279;ชีวิตมีระดับ...ที่เหนือกว่า บ้านแนวใหม่ สมบูรณ์แบบของความโปร่งสบาย
287;โครงการจัดสรรพื้นที่ได้อย่างลงตัวทุกประโยชน์ใช้สอยรายล้อมด้วยบรรยากาศที่ให้ความรู้สึกอบอุ่น พร้อมเปิดรับธรรมชาติได้อย่างกลมกลืนโครงการออกแบบเพื่อตอบรับทุกความสุขของครอบครัว
291;ทาวน์เฮ้าส์เล่นระดับ 2 ชั้น หน้ากว้าง 6 ม. พื้นที่ใช้สอย 120 ตร.ม. ทาวน์โฮม 3 ชั้น เน้นตัวบ้านโปร่ง โล่งสบาย ห้องนอนกว้างขวาง มีห้องนั่งเล่นอาคารพาณิชย์ 4 ชั้น พร้อมชั้นลอยและดาดฟ้า พื้นที่ใช้สอย 275 ตร.ม.
313;
314;ทาวเฮ้าส์ราคาคุ้มค่า
324;Experience The Taste of Golf Sphere Living สัมผัสรสนิยมการอยู่อาศัย...บรรยากาศสนามกอล์ฟ คฤหาสน์หรู 5 ห้องนอน พร้อม Green Room และเรือนรับรองUrban Convenience สะท้อนความเป็นตัวคุณด้วยมุมมองของชีวิตใกล้ชิดธรรมชาติUnparalleled Golf & Green Privacy ที่นี่…ปลดปล่อยพันธนาการของความเร่งรีบ กลับคืนสู่ความสงบในโลกส่วนตัว รางวัลชีวิต ใกล้ชิดธรรมชาติกว่า 600 ไร่Unmatched O-Zone ที่สุดของแรงบันดาลใจ สัมผัสความสุขแห่งการใช้ชีวิต ยินดีต้อนรับสู่ประติมากรรมธรรมชาติรอบตัวคุณUnique Architecture สัมผัสกับมนต์เสน่ห์ที่ถอดอารมณ์ตามสถาปัตยกรรมสไตล์โมเดิร์นทรอปิคอล
326;ทาวน์เฮ้าส์หรู  2 ชั้น  หน้ากว้าง 4, 4.40 เมตร โดดเด่นด้วยรูปลักษณ์ภายนอก ลงตัวด้วยพื้นที่ใช้สอย โอ่อ่ากว้างขวางสไตล์บ้านเดี่ยว โครงสร้างอาคารได้รับการออกแบบพิเศษ เพื่อการต่อเติมด้วยเสาเข็มขนาดใหญ่บริเวณหลังบ้าน คุณจึงต่อเติมความสุขในบ้านได้อย่างมั่นใจ พร้อมสรรพด้วยสาธารณูปโภค และสิ่งอำนวยความสะดวก ต่างๆ มากมาย รวมถึงระบบการรักษาความปลอดภัยตลอด 24 ชั่วโมง จึงทำให้คุณสัมผัสได้ถึงความอบอุ่นและความปลอดภัยไปพร้อมๆ กัน “ทาวน์เฮ้าส์คุณภาพที่มากกว่าทาวน์เฮ้าส์ธรรมดาทั่วไป” สิ่งที่ทำให้ทุกชีวิตที่พักอาศัยที่นี้มีความสุขสบาย ก็ด้วยสาธารณูปโภคที่ครบครันการคมนาคมสะดวก 
340;ความแตกต่างของบ้านหลากดีไซน์ กรีนพาร์ค ชวนชื่นซิตี้
353;Luxury in The Natural Way  ลัดดารมย์ ราชพฤกษ์-รัตนาธิเบศร์ 2 มอบกลิ่นอายของธรรมชาติ ผสานศาสตร์และศิลป์แห่งความล้ำสมัย สะท้อนมูลค่าในคุณค่า..ที่มิอาจประมาณค่าได้ พบบ้านหรู ในสไตล์ทิวดอร์ สะท้อนความอบอุ่นและสง่างาม พร้อมเรือนรับรองกลางสวน ที่นี่..สะท้อนความภูมิฐานของรสนิยมเหนือระดับอย่างสมบูรณ์แบบ ที่นี่..ทุกตารางเมตรยิ่งกว่าความคุ้มค่ากับฟังก์ชั่นพิเศษ ดุจหนึ่งเดียวกับธรรมชาติ บ้านสวนรีสอร์ตทำเลใหม่บนทำเลติดถนนราชพฤกษ์-รัตนาธิเบศร์ เพียง 3 กม.ถึงโครงการรถไฟฟ้าสายสีม่วงThe Absolute Securityอบอุ่นและมั่นใจกับระบบรักษาความปลอดภัยมาตรฐานควอลิตี้ เฮ้าส์ควบคุมบริเวณประตูทางเข้า-ออกโครงการด้วย CCTV วงจรปิด Double Security System ประตูเข้า-ออก 2 ชั้น แยกส่วนของ Guest Area & Residential Area ติดตั้งสัญญาณกันขโมยแบบ Magnetic & Shock Sensor ทุกหลัง รั้วรอบโครงการสูง 3 เมตร ระบบรักษาความปลอดภัย ตลอด 24 ช.ม.  
355;"The Completeness of Modern Living ""ที่สุดแห่งชีวิตทันสมัย สมบูรณ์แบบ"""
367;เปิดรับความสดชื่อในสไตล์ที่โดดเด่น กับบ้านสวยบรรยากาศ Beach Resort ที่ให้คุณแนบชิดความเย็นสบาย รับทะเลาบมากกว่าทุกครั้ง
368;บ้านดีไซน์ใหม่ ในสไตล์ Beach Town… หนึ่งเดียวในทำเล พระราม5-บางใหญ่ ที่มอบความสมบูรณ์แบบของการใช้ชีวิต แนวคิดใหม่
372;Balance your Life เลือกคุณภาพชีวิตสมดุลลงตัวในแบบคุณ
384;บริเวณที่พักอาศัยสงบเงียบเหมาะแก่การพักผ่อนอย่างแท้จริง เป็นคอนโดที่ผสานการออกแบบที่สวยงาม Smart Design คอนโดมิเนียมมีระดับ ด้วยสถาปัตยกรรมทันสมัย สร้างความแตกต่างเข้ากับการใช้สอยที่ครบครันลงตัว ทางเข้าร่มรื่นด้วยธรรมชาติของสวนสวย โอบล้อมสระว่ายน้ำกึ่งในร่มขนาดใหญ่ ระบบน้ำวนในสระ
395;คอนโดเพี่ยง 199 ห้องให้ความเป็นส่วนตัว ไม่พลุกพล่าน ผ่อนคลายกับบรรยากาศโดยรวมกับสวน Garden Corner ที่ให้ความร่มรื่นและสะดวกสบายในการเดินทางเพราะใกล้สถานีรถถไฟฟ้า BTS อ่อนนุช อีกทั้งยังใกล้จุดขึ้นลงทางด่วนหลายเส้นทาง
398;ท่ามกลางสนามกอล์ฟ เพื่อรูปแบบชีวิต พร้อมความสมบูรณ์ สะดวกสบาย สงบ และเป็นธรรมชาติ แวดล้อมด้วยต้นไม้หลากหลายพันธ์ สายน้ำที่คอยหล่อเลี้ยงให้ความชุ่มชื่น ตอบสนองทุกความต้องการของคนในครอบครัว
404;S Condo Sukhumvit 50 คอนโดมิเนียมตั้งอยู่บน สุขุมวิท 50 พระโขนง คลองเตย กรุงเทพมหานคร 10260 โครงสร้างของ เอส คอนโด สุขุมวิท 50 แล้วเสร็จในปี 2007 คอนโดนี้ มีอาคารเดียว จำนวน 8 ชั้น และ รวมทั้งหมด 77 ยูนิต
414;เราได้เตรียมพร้อมทุกความต้องการของท่านและครอบครัวด้วยฟังก์ชั่น พิเศษสุด ระบบรักษาความปลอดภัยตลอด 24 ชั่วโมง
439; ปาล์ม สปริงส์ - สายสนามบิน มีให้เลือกทั้งบ้านเดี่ยว 2 ชั้น 6 แบบ 6 สไตล์ บ้านแฝด 2 ชั้น ทาวน์เฮ้าส์ 2 ชั้น และอาคารพาณิชย์  สำหรับครอบครัวที่ทันสมัย  บ้านหรู ท่ามกลางธรรมชาติ ในสังคมคุณภาพ ติดถนนใหญ่ น้ำไม่ท่วม มีให้คุณเลือกสรรอย่างมากมาย  พร้อมสิ่งอำนวยความสะดวกอย่างครบครัน เช่น ใกล้โรงเรียนหาดใหญ่รัฐประชาสรรค์  มหาวิทยาลัยสงขลานครินทร์  ห้างแม็คโคร  และในทำเลทองที่ใกล้กับสนามบินหาดใหญ่ ที่สำคัญมีรถโดยสารประจำทางผ่านตลอดทุกการเดินทางที่สะดวกสบายของเมืองหาดใหญ่ พร้อมสวนสวยและสนามเด็กเล่นขนาดใหญ่ในโครงการ 2 แห่ง ท่ามกลางทัศนียภาพที่ร่มรื่น อบอุ่น สงบ สบายของต้นไม้นานาพันธุ์ ซึ่งมีการจัดภูมิทัศน์ที่สวยงาม แตกต่างไม่เหมือนใคร    สร้างความอบอุ่นและสัมพันธ์อันดีในวันพักผ่อนของคนในครอบครัวคุณอย่างแท้จริง บ้านเดี่ยว 2 ชั้น 6 แบบ เริ่มต้นที่ 50 ตร.ว. ขึ้นไป  บ้านแฝด 2 ชั้น เริ่มต้นที่ 37.5 ตร.ว. ขึ้นไป ทาวน์เฮ้าส์ 2 ชั้น เริ่มต้นที่ 18.6 ตร.ว. ขึ้นไป   อาคารพาณิชย์  3  ชั้น
459;โอกาสสำคัญรีบเป็นเจ้าของ บ้านพร้อมโอนของศุภาลัย
473;ทาวน์เฮ้าส์เล่นระดับ สไตล์บ้านเดี่ยว เหนือกว่าด้วยดีไซน์...บนพื้นที่ใช้สอยดุจบ้านเดี่ยวทาวน์เฮ้าส์เล่นระดับ 2 ชั้น หน้ากว้าง 6 ม. พื้นที่ใช้สอย 120 ตร.ม. เนื้อที่บ้าน 21 ตร.ว.อาคารพาณิชย์ 4 ชั้น พร้อมชั้นลอยและดาดฟ้า ลงตัวทุกพื้นที่การใช้สอย ด้วยแนวคิดการออกแบบระบบ Optima List พื้นที่ใช้สอย 275 ตร.ม. Master Bedroom โอ่อ่า พร้อมห้องน้ำในตัว ที่จอดรถ 2 คัน
512;The Refinement of Living ความวิจิตร แห่งการใช้ชีวิต ที่ทำให้การใช้ชีวิตธรรมดา...เหนือกว่าธรรมดา หนึ่งเดียวบนทำเลที่ดีที่สุด ถนนอุทยาน-อักษะ
614;การวางผังอย่างใส่ใจ บนพื้นที่เปิดโล่งกว่า 75 % จึงสามารถสัมผัสทิวทัศน์ ทั้งแบบเมืองและธรรมชาติ โดยไม่มีสิ่งใดมาบดบัง รูปแบบอาคารทันสมัยสไตล์ Modern Bali โทนสีน้ำตาล ครีม
615;พบบ้านรุ่นใหม่ โซนหน้าโครงการ 18 มิ.ย.49
618;บ้านเดี่ยวหรูสไตล์ Craftman สถาปัตยกรรมจากไม้ ปราณีตทุกรายละเอียดพร้อมฟังก์ชั่นที่ตอบสนอง life style ทันสมัยของคุณ ภายใต้สังคมมีระดับ บนทำเลศักยภาพสูงสุด ติดถนนใหญ่ วงแหวนรอบนอก สะดวกด้วยเส้นทางเชื่อมต่อถนนบางนา-ตราด ถนนเฉลิมพระเกียติ, อ่อนนุช, ศรีนครินทร์, พัฒนาการ
681;Make Everyday Colorful สีสันใหม่แห่งการใช้ชีวิต ที่ตอบรับความต้องการของคุณได้ครบทุกด้าน
706;
833;บ้านอารมณ์ดี พร้อมเข้าอยู่ ราคา 5 ล้านเศษ มีจำนวนจำกัด
836;คอนโดมิเนียมย่านอ่อนนุช 77 ความสูง 8 ชั้น พร้อมเฟอร์นิเจอร์ครบชุด ตกแต่งความลงตัวด้วยห้องนอนสไตล์มินิมอลบนพื้นที่ขนาด 28.13 - 35.24 ตร.ม. พร้อมสระว่ายน้ำขนาดใหญ่ ยาว 50 เมตร จำนวน 2 สระ ที่เชื่อมต่อกับโซนฟิตเนส และสวนสีเขียวในบรรยากาศผ่อนคลาย สะดวกสบายยิ่งกว่ากับระบบจอดรถอัตโนมัติ พร้อมเข้าอยู่แล้ววันนี้
845;สุดยอดทำเลธุรกิจบนถนน ทองหล่อ มีความเป็นส่วนตัว ด้วยจำนวนเพียง 79 ยูนิต เพลิดเพลินกับสระว่ายน้ำกว้างกว่า 15 เมตร และ ผ่อนคลายไปกับ ซาว์นน่า และ Jacuzzi สะดวกสบายกับที่จอดรถทุกยูนิต
847;
848;คฤหาสน์หรูบนสุดยอดทำเล ต้นถนนราชพฤกษ์ (ปิ่นเกล้า-ราชพฤกษ์) ใกล้สาทร ห่างจากศูนย์กลางธุรกิจชั้นในของกรุงเทพมหานครเพียงไม่กี่นาที ภายใต้คอนเซ็ปต์โครงการแบบ Colonial Riviera Style ที่ถูกออกแบบอย่างประณีต โดยผสานสไตล์การใช้ชีวิตแบบร่วมสมัยเข้ากับรูปแบบลายเส้นสถาปัตยกรรมสุดคลาสสิค บ่งบอกถึงความสำเร็จ และรสนิยมของผู้ครอบครองได้เป็นอย่างดี เพิ่มสุนทรียภาพแห่งการใช้ชีวิตในวันพักผ่อนด้วยการออกแบบเพดานภายในบ้านสูงถึง 3.2 เมตร และหน้าต่างชมวิวแบบพาโนรามา เพื่อผสานธรรมชาติเขียวขจีภายนอกเข้ากับการใช้ชีวิตในบ้านได้อย่างรื่นรมย์
896;
908;เนเบอร์โฮม วัชรพล “ศูนย์กลางความเจริญที่ไม่เคยหยุดนิ่ง” โครงการเนเบอร์โฮม วัชรพล บนถนนรามอินทรา โครงการทำเลคุณภาพสูง สะดวกรวดเร็วถึงทุกที่หมายในพริบตา แวดล้อมด้วยถนนหลักหลายสายให้คุณเดินทางสู่จุดหมายได้อย่างรวดเร็ว ด้วยโครงข่ายทางด่วนส่วนต่อขยายรามอินทรา-อาจณรงค์ และถนนวงแวนรอบนอก พร้อมสิ่งอำนวยความสะดวกครบครัน จึงมั่นใจได้ในทำเลแห่งอนาคต ที่นับวันจะทวีค่ามากยิ่งขึ้น 
914;โมเดิร์นทาวน์โฮม 3 ชั้น 3 ห้องนอน 3 ห้องน้ำ  
921;คอนโดมิเนียมแนวคิด Smart Design ออกแบบให้ระเบียงกันแดดกันฝนได้ (Flexy Balcony) พร้อมกั้นครัวเป็นสัดส่วน หมดกังวลเรื่องการระบายกลิ่นควันได้ดีเยี่ยม และดีไซน์พิเศษ ห้องน้ำรับแสงและลมจากภายนอกได้ ไม่อับชื้น ใช้ชีวิตใกล้ชิดธรรมชาติได้ง่ายขึ้น ด้วยพื้นที่สีเขียวเปิดโล่งกว่า 56% ให้ชีวิตไม่อึดอัด โดดเด่นด้วยความตั้งใจดีไซน์ให้ทุกยูนิตสามารถสัมผัสได้ทั้งทิวทัศน์เมืองและธรรมชาติ บน ถ.ศรีนครินทร์ เดินทางสะดวก ใกล้จุดขึ้นลงทางด่วนเพียง 5 กม. ให้คุณเดินทางไปยังสนามบินสุวรรณภูมิ เพียง 10 นาที  พร้อมในอนาคต มีโครงการรถไฟฟ้าสายสีเหลืองผ่าน รองรับชีวิตทันสมัยด้วยแนวคิด Supalai Cyber Village ด้วย Hi-Speed Internet Broadband และเลือกใช้บริการ Home Solution ที่ทันสมัย
923;- สัมผัสอารมณ์ธรรมชาติได้ทุกมุมมอง พร้อมฟังก์ชั่นพิเศษ Indoor Foyer, Sliding Panel - บ้านแนวคิดอิสระ และบ้านเดี่ยว ราคาเริ่ม เพียง 2 ล้านต้นๆ
929;EXCLUSIVE NEW-PHASE พรีเมี่ยม เพลส เอกมัย-รามอินทรา III ด้วยการตอบรับอย่างสูงสุด เปิดเฟสใหม่ โซนคลับเฮ้าส์ ให้คุณเลือกทำเลสวยที่สุด ก่อนใคร
930;บ้านที่ตอบสนองความต้องการของคุณ...อย่างคุ้มค่า (ที่นี่...โครงการน้ำไม่ท่วม) 
934;บ้านเดี่ยวและบ้านแนวคิดใหม่ ที่ตั้งอยู่บนทำเลศักยภาพ เข้าออก 2 ทาง เพียง 5 นาทีจาก ถนนเอกชัย และ เพียง 3 นาทีถนนพระราม2 ทั้งโครงการตั้งอยู่บนพื้นที่สีเขียว และห่างไกลจากควันพิษจากโรงงานอุตสาหกรรม สะดวกสบายด้วยถนนโครงการ 16 เมตร
936;
957;ความงามที่มากด้วยคุณค่า ของบ้านสไตล์ INNOVATION พร้อมเปิดจองในทำเลที่ดีที่สุดบนถนนวงแหวนรัตนาธิเบศร์
963;The Nature Living ชีวิตในเมืองที่ใกล้ชิดธรรมชาติที่คุณและครอบครัวจะใช้ชีวิตพักผ่อนได้ทุกๆ วัน
